"Disclaimer: All answers posted here are personal opinions and views, often based on facts. Read the glossary at cell G5 for basic terms.",,,,,,
Timestamp,Is it about,question,answer,Answer-2,Answer-3,
10/18/2019 12:12:12,3rd year Summer Internship,What was the stipend for Morgan Stanley?,87000 per month,,,
10/18/2019 12:14:09,4th year placements,What subjects do I generally focus on to prepare for placements?,DS Algo OS and basic DBMS,,,
10/18/2019 12:48:07,3rd year Summer Internship,When will companies be arriving for campus placements for summer internships?,Morgan Stanley came on Oct 1 for the class of 2020,Intuit came only for girls in the beginning of September for the 2020 class,,Glossary
10/18/2019 13:39:33,4th year placements,How many companies above 20CTC come?,There isn't a definite number of companies. But lots of companies offer CTC above 20lpa,,,PPO - Pre Placement Offer (Once you complete a 3rd year internship your internship could convert to a job offer at the company
10/18/2019 13:41:12,4th year placements,How many companies have a clear JD?,Most companies have to fill out a job form when the register with the placement cell. Some companies send a out documents with their JD and CTC breakup,,,"CTC - Cost to Company (Cost incurred by the company, not necassarily how much you'll get inhand)"
10/18/2019 13:43:45,4th year placements,What is the policy regarding dream companies?,They've introduced a Super Dream category for companies with CTC above 36lpa you can apply regardless of how many offers you hold,,,Base pay - Salary you'll get inhand
10/18/2019 13:44:21,3rd year Summer Internship,How are the off campus taken into account?,"3rd year internships aren't completely necassary. If it's on campus, you'll be allowed to accept only the first offer and not apply for the companies coming later. Off campus you can apply to how many ever.",,,"RSU - Restricted Stock Units (Part of the CTC, usually vests over 4 years 25% a year)"
10/18/2019 13:51:13,3rd year Summer Internship,How much value does it hold?,3rd semester internships at industries might lead to a pre placement offer. Otherwise they just help you build your resume.,,,"Relocation Allowance, Retention bonus, Joining bonus - benefits that are different at each company"
10/18/2019 13:51:57,3rd year Summer Internship,How many rounds of interviews are conducted usually? ,"most companies have around 2 rounds of technical interviews, followed by a HR round. It varies based on both the company and the interviewee, usually",,,PF - Provident Fund (A government account to which you and your employer have to contribute to. 8% per month which is automatically deducted. This will be accessible at the time of retirement)
10/18/2019 13:52:26,4th year placements,"Are there any companies that publish annual CTC(not including the 4 year stock options, bonuses etc)",Companies usually amortize the cost they incur when they employ youand publish the CTC over 4 years. The base pay is the number you usually get in hand including the tax and your contribution to PF,,,FTE - Full time employment
10/18/2019 13:52:29,3rd year Summer Internship,How many companies visit for 3rd year internships?,"Can't really say. They come throught the year, almost every 2 weeks even until the first week of summer",,,JD - Job description
10/18/2019 13:52:36,3rd year Summer Internship,Where should I do it?,Depends on your preference. Can be at an industry or a research internship somewhere like IISc,,,PPT - Pre placement talk. 
10/18/2019 13:52:59,4th year placements,How much does Intuit pay? ,"Base: 13,50,000, CTC: 25,16,750",,,
10/18/2019 13:53:05,4th year placements,Should I register for all the companies?,"Placement Cell has restrictions on applying to companies. It depends on factors like Offers held, CGPA cut off, backlogs",,,
10/18/2019 13:53:12,4th year placements,How much does Morgan Stanley pay?,"Fixed Pay : 13,00,000  Total Compensation Year 1 :18,33,000",,,
10/18/2019 13:53:18,4th year placements,Does pay matter?,Depends on your preference. ,,,
10/18/2019 13:53:23,4th year placements,List the companies that have a service bond.,T1 companies don't usually have service bonds. T3 companies rarely have bonds. It will be mentioned in the Job form sent to you,,,
10/18/2019 13:53:51,4th year placements,How much does Citrix pay?,Base Pay : 115000 Total CTC : 23.42lpa,,,
10/18/2019 13:54:29,3rd year Summer Internship,Is it better to try to get an internship or to study for placements over the summer?,"Depends on your preference, getting a PPO might make placements easy for you. ",,,
10/18/2019 13:54:34,4th year placements,How much does Goldman Sachs pay? ,Total Compensation: 22 lpa; CTC: 16lpa; One time payment: 2lakhs. Discretionary Bonus: 4lakhs,,,
